2024-02-11,user55,apple,9,101.34
2024-09-28,user83,cucumber,10,93.29
2024-08-16,user76,potato,6,105.64
2024-04-29,user77,kiwi,2,54.03
2024-09-20,user66,banana,7,114.99
2024-08-26,user10,kiwi,6,105.55
2024-06-26,user30,cucumber,7,61.59
2024-02-11,user64,banana,8,53.81
2024-09-05,user74,potato,5,113.36
2024-04-17,user66,potato,9,80.59
2024-06-12,user54,banana,2,101.79
2024-08-13,user99,apple,8,80.11
2024-02-07,user58,potato,4,110.2
2024-01-26,user93,banana,5,51.33
2024-06-08,user85,kiwi,5,62.1
2024-02-03,user96,apple,10,58.7
2024-09-01,user10,potato,3,83.04
2024-01-04,user62,potato,5,119.76
2024-09-15,user37,banana,7,100.29
2024-01-10,user52,potato,3,88.16
2024-07-05,user50,banana,9,65.65
2024-09-24,user95,kiwi,5,81.07
2024-02-14,user16,banana,4,111.99
2024-09-02,user31,kiwi,5,62.4
2024-01-12,user43,apple,2,77.27
2024-07-12,user92,banana,9,80.01
2024-06-19,user79,banana,9,107.18
2024-09-03,user32,potato,10,60.95
2024-06-26,user45,potato,9,74.57
2024-07-15,user43,banana,4,53.83
2024-07-27,user83,apple,7,85.07
2024-07-30,user21,potato,2,65.99
2024-07-19,user35,cucumber,8,56.3
2024-05-16,user75,banana,1,74.65
2024-03-04,user66,banana,5,89.34
2024-05-26,user47,potato,7,53.29
2024-07-13,user41,banana,9,116.55
2024-05-21,user48,apple,8,73.01
2024-03-14,user19,cucumber,8,54.69
2024-09-29,user28,banana,2,92.11
2024-04-18,user91,potato,5,111.55
2024-03-21,user82,potato,2,81.79
2024-05-16,user54,potato,7,114.95
2024-06-06,user84,cucumber,1,102.44
2024-01-20,user55,potato,2,53.33
2024-08-24,user33,apple,1,88.12
2024-04-30,user16,apple,7,81.68
2024-01-04,user11,apple,7,92.96
2024-07-27,user65,potato,6,82.5
2024-08-09,user49,apple,9,67.99
2024-09-25,user32,cucumber,7,66.34
2024-03-16,user65,potato,6,53.17
2024-06-30,user22,banana,2,103.95
2024-08-24,user26,banana,5,97.34
2024-02-18,user32,cucumber,2,102.01
2024-04-10,user16,banana,3,66.03
2024-05-23,user40,apple,3,85.64
2024-07-15,user89,cucumber,4,116.19
2024-05-12,user98,potato,10,91.66
2024-05-21,user68,potato,3,113.42
2024-03-29,user30,apple,9,58.4
2024-09-15,user80,potato,7,99.09
2024-08-08,user99,banana,5,105.09
2024-08-27,user15,cucumber,10,52.31
2024-04-08,user32,cucumber,5,104.68
2024-06-24,user15,kiwi,5,89.0
2024-02-19,user64,kiwi,9,110.92
2024-03-09,user15,kiwi,9,59.66
2024-09-12,user46,banana,7,101.4
2024-05-24,user82,banana,6,84.96
2024-02-02,user59,kiwi,9,99.03
2024-09-05,user58,banana,10,106.99
2024-02-21,user27,apple,2,114.98
2024-01-16,user46,potato,3,68.06
2024-10-08,user38,cucumber,1,71.45
2024-10-08,user96,banana,8,71.44
2024-03-21,user69,banana,4,58.27
2024-02-21,user52,kiwi,8,111.87
2024-05-23,user84,banana,10,115.57
2024-01-20,user38,apple,5,52.12
2024-10-09,user55,kiwi,1,68.56
2024-05-08,user49,kiwi,5,107.18
2024-03-12,user45,banana,1,69.6
2024-05-31,user74,banana,10,55.36
2024-06-15,user78,banana,2,110.66
2024-05-03,user60,potato,1,91.66
2024-01-06,user92,banana,7,103.65
2024-06-28,user13,apple,5,83.18
2024-08-19,user84,banana,10,60.52
2024-05-31,user84,kiwi,2,76.41
2024-04-13,user74,cucumber,8,117.31
2024-08-19,user19,potato,5,108.86
2024-08-14,user67,banana,3,84.36
2024-05-28,user47,potato,9,111.22
2024-07-15,user57,potato,3,84.58
2024-01-14,user100,potato,10,60.29
2024-05-13,user13,potato,10,75.76
2024-03-30,user99,cucumber,7,88.23
2024-09-18,user30,cucumber,9,51.41
2024-01-06,user21,potato,4,94.43
2024-02-28,user83,banana,8,83.97
2024-02-11,user88,banana,9,106.81
2024-02-28,user92,cucumber,4,115.33
2024-08-29,user91,banana,5,72.9
2024-07-18,user12,cucumber,8,81.0
2024-01-24,user80,potato,8,77.72
2024-08-01,user40,cucumber,1,110.27
2024-08-29,user84,banana,10,56.52
2024-07-26,user59,kiwi,5,58.04
2024-06-24,user11,banana,8,82.34
2024-05-23,user98,kiwi,7,50.83
2024-05-06,user81,banana,1,84.93
2024-06-13,user14,potato,7,93.26
2024-02-26,user64,kiwi,7,69.85
2024-05-31,user100,cucumber,3,96.62
2024-02-08,user38,cucumber,3,107.66
2024-04-30,user41,banana,1,113.26
2024-03-08,user99,kiwi,3,83.2
2024-06-15,user11,banana,4,108.56
2024-01-14,user92,cucumber,6,73.55
2024-05-15,user98,apple,1,93.18
2024-09-26,user37,kiwi,1,103.7
2024-02-23,user80,banana,9,53.05
2024-05-09,user29,apple,2,75.08
2024-05-12,user30,banana,9,91.7
2024-01-26,user58,banana,7,52.03
2024-06-06,user52,banana,4,65.32
2024-08-09,user53,apple,5,60.74
2024-09-10,user59,cucumber,10,102.62
2024-06-09,user22,banana,4,57.11
2024-01-08,user38,potato,1,86.37
2024-04-08,user35,cucumber,7,105.0
2024-08-02,user51,cucumber,2,80.62
2024-06-10,user57,apple,3,117.17
2024-05-04,user98,potato,5,76.16
2024-07-12,user16,cucumber,5,52.42
2024-07-12,user58,kiwi,5,85.63
2024-01-03,user56,kiwi,2,99.94
2024-04-23,user64,apple,1,57.69
2024-08-06,user72,cucumber,9,63.72
2024-03-06,user80,banana,10,82.32
2024-09-09,user49,apple,5,109.86
2024-02-13,user48,potato,5,110.98
2024-08-12,user29,cucumber,1,88.26
2024-08-27,user98,cucumber,7,80.16
